IRN,PAK,AUS,USA,ESP
9151.95,14454.6956,10920299.9299266,8408.7804,8257.63252
12171.95,18233.3926,13776010.1334884,9466.81556,10902.72042
16701.95,19744.8714,14918294.2149132,10675.9986,13698.9562
19721.95,18989.132,14347152.1742008,12036.32952,15739.45258
18211.95,18233.3926,13776010.1334884,12338.62528,16041.74834
15946.95,16721.9138,12633726.0520637,12111.90346,13698.9562
9906.95,13698.9562,10349157.8892143,10827.14648,11053.8683
4621.95,8408.7804,6351163.60422776,8786.6501,7577.46706
91.9499999999998,5385.8228,4066595.44137832,6972.87554,5612.54462
0,3874.344,2924311.3599536,6972.87554,5234.67492
91.9499999999998,6141.5622,4637737.48209068,7124.02342,5688.11856
3866.95,9164.5198,6922305.64494012,7501.89312,7048.44948
9151.95,14454.6956,10920299.9299266,8408.7804,8257.63252
12171.95,18233.3926,13776010.1334884,9466.81556,10902.72042
16701.95,19744.8714,14918294.2149132,10675.9986,13698.9562
19721.95,18989.132,14347152.1742008,12036.32952,15739.45258
18211.95,18233.3926,13776010.1334884,12338.62528,16041.74834
15946.95,16721.9138,12633726.0520637,12111.90346,13698.9562
9906.95,13698.9562,10349157.8892143,10827.14648,11053.8683
4621.95,8408.7804,6351163.60422776,8786.6501,7577.46706
91.9499999999998,5385.8228,4066595.44137832,6972.87554,5612.54462
0,3874.344,2924311.3599536,6972.87554,5234.67492
91.9499999999998,6141.5622,4637737.48209068,7124.02342,5688.11856
3866.95,9164.5198,6922305.64494012,7501.89312,7048.44948
9151.95,14454.6956,10920299.9299266,8408.7804,8257.63252
12171.95,18233.3926,13776010.1334884,9466.81556,10902.72042
16701.95,19744.8714,14918294.2149132,10675.9986,13698.9562
19721.95,18989.132,14347152.1742008,12036.32952,15739.45258
18211.95,18233.3926,13776010.1334884,12338.62528,16041.74834
15946.95,16721.9138,12633726.0520637,12111.90346,13698.9562
9906.95,13698.9562,10349157.8892143,10827.14648,11053.8683
4621.95,8408.7804,6351163.60422776,8786.6501,7577.46706
91.9499999999998,5385.8228,4066595.44137832,6972.87554,5612.54462
0,3874.344,2924311.3599536,6972.87554,5234.67492
91.9499999999998,6141.5622,4637737.48209068,7124.02342,5688.11856
3866.95,9164.5198,6922305.64494012,7501.89312,7048.44948
9151.95,14454.6956,10920299.9299266,8408.7804,8257.63252
12171.95,18233.3926,13776010.1334884,9466.81556,10902.72042
16701.95,19744.8714,14918294.2149132,10675.9986,13698.9562
19721.95,18989.132,14347152.1742008,12036.32952,15739.45258
18211.95,18233.3926,13776010.1334884,12338.62528,16041.74834
15946.95,16721.9138,12633726.0520637,12111.90346,13698.9562
9906.95,13698.9562,10349157.8892143,10827.14648,11053.8683
4621.95,8408.7804,6351163.60422776,8786.6501,7577.46706
91.9499999999998,5385.8228,4066595.44137832,6972.87554,5612.54462
0,3874.344,2924311.3599536,6972.87554,5234.67492
91.9499999999998,6141.5622,4637737.48209068,7124.02342,5688.11856
3866.95,9164.5198,6922305.64494012,7501.89312,7048.44948
9151.95,14454.6956,10920299.9299266,8408.7804,8257.63252
12171.95,18233.3926,13776010.1334884,9466.81556,10902.72042
16701.95,19744.8714,14918294.2149132,10675.9986,13698.9562
19721.95,18989.132,14347152.1742008,12036.32952,15739.45258
18211.95,18233.3926,13776010.1334884,12338.62528,16041.74834
15946.95,16721.9138,12633726.0520637,12111.90346,13698.9562
9906.95,13698.9562,10349157.8892143,10827.14648,11053.8683
4621.95,8408.7804,6351163.60422776,8786.6501,7577.46706
91.9499999999998,5385.8228,4066595.44137832,6972.87554,5612.54462
0,3874.344,2924311.3599536,6972.87554,5234.67492
91.9499999999998,6141.5622,4637737.48209068,7124.02342,5688.11856
3866.95,9164.5198,6922305.64494012,7501.89312,7048.44948
9151.95,14454.6956,10920299.9299266,8408.7804,8257.63252
12171.95,18233.3926,13776010.1334884,9466.81556,10902.72042
16701.95,19744.8714,14918294.2149132,10675.9986,13698.9562
19721.95,18989.132,14347152.1742008,12036.32952,15739.45258
18211.95,18233.3926,13776010.1334884,12338.62528,16041.74834
15946.95,16721.9138,12633726.0520637,12111.90346,13698.9562
9906.95,13698.9562,10349157.8892143,10827.14648,11053.8683
4621.95,8408.7804,6351163.60422776,8786.6501,7577.46706
91.9499999999998,5385.8228,4066595.44137832,6972.87554,5612.54462
0,3874.344,2924311.3599536,6972.87554,5234.67492
91.9499999999998,6141.5622,4637737.48209068,7124.02342,5688.11856
3866.95,9164.5198,6922305.64494012,7501.89312,7048.44948
9151.95,14454.6956,10920299.9299266,8408.7804,8257.63252
12171.95,18233.3926,13776010.1334884,9466.81556,10902.72042
16701.95,19744.8714,14918294.2149132,10675.9986,13698.9562
19721.95,18989.132,14347152.1742008,12036.32952,15739.45258
18211.95,18233.3926,13776010.1334884,12338.62528,16041.74834
15946.95,16721.9138,12633726.0520637,12111.90346,13698.9562
9906.95,13698.9562,10349157.8892143,10827.14648,11053.8683
4621.95,8408.7804,6351163.60422776,8786.6501,7577.46706
91.9499999999998,5385.8228,4066595.44137832,6972.87554,5612.54462
0,3874.344,2924311.3599536,6972.87554,5234.67492
91.9499999999998,6141.5622,4637737.48209068,7124.02342,5688.11856
3866.95,9164.5198,6922305.64494012,7501.89312,7048.44948
9151.95,14454.6956,10920299.9299266,8408.7804,8257.63252
12171.95,18233.3926,13776010.1334884,9466.81556,10902.72042
16701.95,19744.8714,14918294.2149132,10675.9986,13698.9562
19721.95,18989.132,14347152.1742008,12036.32952,15739.45258
18211.95,18233.3926,13776010.1334884,12338.62528,16041.74834
15946.95,16721.9138,12633726.0520637,12111.90346,13698.9562
9906.95,13698.9562,10349157.8892143,10827.14648,11053.8683
4621.95,8408.7804,6351163.60422776,8786.6501,7577.46706
91.9499999999998,5385.8228,4066595.44137832,6972.87554,5612.54462
