Dates,DYT,DXT,DNT,DYU,DXU,DNU,DRR,DYFF (m/s),DXFF (m/s),DXFFGUST (m/s),Solar Radiation GHI (KWh/m2),ET0 (mm),Water loss (m3)
2003-01-01 00:00:00,18.3,22.6,15.4,63,87,35,0,,,,3.589228337,0.11435059,1543.732971
2003-01-02 00:00:00,16.8,21.8,13.9,72,88,45,0,,,,3.560689611,0.113890536,1537.522231
2003-01-03 00:00:00,17.2,23.2,11.5,66,92,32,0,,,,3.511576637,0.138269693,1866.64086
2003-01-04 00:00:00,17.7,23,12.7,67,90,32,0,,,,3.583582489,0.134285229,1812.850594
2003-01-05 00:00:00,17.4,23.4,13.9,59,88,26,0,,,,3.585215414,0.127933298,1727.099518
2003-01-06 00:00:00,17.7,23.8,12,67,88,33,0,,,,3.555965623,0.1426234,1925.415894
2003-01-07 00:00:00,19,25.4,13.6,71,88,41,0,,,,3.550732379,0.147628646,1992.98672
2003-01-08 00:00:00,19.4,26.5,12.8,67,88,23,0,,,,3.568484928,0.161603575,2181.648261
2003-01-09 00:00:00,19.5,27.2,11.7,67,88,22,0,,,,3.597350308,0.173748589,2345.605947
2003-01-10 00:00:00,17.8,24.9,13.2,73,88,27,0,,,,3.533692791,0.141525792,1910.598187
2003-01-11 00:00:00,18.8,25,14.5,69,88,37,0,,,,3.57210044,0.139335978,1881.035703
2003-01-12 00:00:00,17.9,24.5,11.6,72,90,33,0,,,,3.538763039,0.149237659,2014.708394
2003-01-13 00:00:00,17.3,24.5,13.2,51,90,31,0,,,,3.560471182,0.13817125,1865.311875
2003-01-14 00:00:00,17.3,24.7,10.1,53,88,16,0,,,,3.516931907,0.155135567,2094.330156
2003-01-15 00:00:00,18.5,26.3,12.2,53,89,9,0,,,,3.585461375,0.160740422,2169.995692
2003-01-16 00:00:00,20.8,27.9,13.4,47,88,14,0,,,,3.541894743,0.171226441,2311.556955
2003-01-17 00:00:00,17.3,22.2,12.2,44,86,30,0,,,,3.596676037,0.131302293,1772.580959
2003-01-18 00:00:00,13.4,18.2,10,38,56,24,0,,,,3.564329819,0.104737759,1413.959747
2003-01-19 00:00:00,14.8,22.1,8.8,34,53,13,0,,,,3.523501051,0.137778578,1860.010809
2003-01-20 00:00:00,17.2,23.5,10.7,37,61,16,0,,,,3.534208344,0.145555644,1965.001196
2003-01-21 00:00:00,19.7,23.3,14,64,79,40,0,,,,3.552213614,0.133608993,1803.721402
2003-01-22 00:00:00,21.7,25.8,19.1,67,84,47,0,,,,3.561056578,0.119750475,1616.631411
2003-01-23 00:00:00,22,27.2,19,72,87,39,0,,,,3.500119959,0.131200896,1771.212095
2003-01-24 00:00:00,17.8,21.2,16,68,87,44,0,,,,3.543787376,0.094620056,1277.370754
2003-01-25 00:00:00,17,21.8,13.8,68,92,41,0,,,,3.549212484,0.114900022,1551.150295
2003-01-26 00:00:00,16.7,22.1,12,61,92,29,0,,,,3.519899335,0.126932811,1713.592952
2003-01-27 00:00:00,18.1,25,12,58,93,14,0,,,,3.580509228,0.152431525,2057.825592
2003-01-28 00:00:00,22.4,27.9,15,54,90,27,0,,,,3.511647915,0.166761483,2251.280017
2003-01-29 00:00:00,21.6,25.6,19.5,64,87,33,0,,,,3.522941637,0.112753612,1522.173756
2003-01-30 00:00:00,19.3,23.2,17.2,66,86,37,0,,,,3.527163497,0.105423881,1423.222392
2003-01-31 00:00:00,,,,65,87,30,0,,,,,,
2003-02-01 00:00:00,18.4,24.1,12.5,67,92,28,0,,,,4.540820424,0.184134754,2485.819178
2003-02-02 00:00:00,18.1,25,12.5,61,92,13,0,,,,4.539987064,0.189525628,2558.595976
2003-02-03 00:00:00,19.3,25.8,12.9,68,91,33,0,,,,4.58372648,0.200886769,2711.971375
2003-02-04 00:00:00,23.4,29.9,15.4,60,91,22,0,,,,4.546726404,0.234608592,3167.215986
2003-02-05 00:00:00,22.2,28.8,19.2,67,91,34,0,,,,4.56011981,0.185881314,2509.397743
2003-02-06 00:00:00,20,23.7,16,59,81,31,0,,,,4.526211433,0.156147801,2107.995317
2003-02-07 00:00:00,,,,64,88,38,0,,,,,,
2003-02-08 00:00:00,20.9,26.5,15.8,60,92,18,0,,,,4.576448432,0.19054401,2572.344133
2003-02-09 00:00:00,23.2,31.8,15.4,46,89,16,0,,,,4.513211208,0.246465033,3327.27794
2003-02-10 00:00:00,21.4,26.2,17.8,68,91,35,0,,,,4.518948477,0.168860073,2279.610989
2003-02-11 00:00:00,22.8,31.1,17.2,65,90,24,0,,,,4.517485652,0.2249024,3036.182394
2003-02-12 00:00:00,22.5,30.5,12,61,91,22,0,,,,4.566863549,0.260359135,3514.848319
2003-02-13 00:00:00,24.3,31.8,15.7,58,91,20,0,,,,4.51930814,0.251090835,3389.726275
2003-02-14 00:00:00,26.1,34.9,20.8,57,86,14,0,,,,4.597845776,0.249282821,3365.318077
2003-02-15 00:00:00,23,30.5,18.2,54,89,11,0,,,,4.580450087,0.215568226,2910.171048
2003-02-16 00:00:00,21.6,27.9,17.9,50,78,18,0,,,,4.548660496,0.186399017,2516.386733
2003-02-17 00:00:00,18.7,23.9,15,55,87,32,0,,,,4.514000051,0.161663993,2182.463903
2003-02-18 00:00:00,18.2,23.2,13.9,52,81,26,0,,,,4.503884933,0.16262793,2195.477059
2003-02-19 00:00:00,22.7,31.5,13.9,47,89,16,0,,,,4.587843103,0.25637979,3461.127169
2003-02-20 00:00:00,25.6,31,20.8,50,77,22,0,,,,4.577675287,0.208688574,2817.295753
2003-02-21 00:00:00,25.4,30,21.2,68,91,31,0,,,,4.592758137,0.193580912,2613.342312
2003-02-22 00:00:00,24.9,30.2,21,75,90,45,0,,,,4.554223767,0.19399924,2618.989734
2003-02-23 00:00:00,21.4,24.5,19.6,86,91,74,8.1,,,,4.592568642,0.131070102,1769.446374
2003-02-24 00:00:00,22.1,25.3,17.8,82,91,62,1.2,,,,4.569916706,0.164238771,2217.223402
2003-02-25 00:00:00,23.9,30.5,20.4,76,91,33,0,,,,4.560454465,0.198778193,2683.50561
2003-02-26 00:00:00,21.6,26.8,19,70,90,44,0.5,,,,4.545533838,0.164509996,2220.884946
2003-02-27 00:00:00,18,18,18,48,79,24,0,,,,,,
2003-02-28 00:00:00,,,,54,71,34,0,,,,,,
2003-03-01 00:00:00,18.8,22.5,15,49,81,28,0,,,,5.50985904,0.181641918,2452.165892
2003-03-02 00:00:00,17.4,22.9,18.8,60,82,36,0,,,,5.538961595,0.129845475,1752.913912
2003-03-03 00:00:00,,,,67,91,33,0,,,,,,
2003-03-04 00:00:00,,,,66,92,23,0,,,,,,
2003-03-05 00:00:00,,,,52,90,22,0,,,,,,
2003-03-06 00:00:00,,,,47,86,18,0,,,,,,
2003-03-07 00:00:00,,,,44,86,15,0,,,,,,
2003-03-08 00:00:00,22.5,28,17.8,64,84,37,0,,,,5.538637922,0.234461738,3165.233466
2003-03-09 00:00:00,22.7,29.2,17,54,91,23,0,,,,5.500765731,0.255930451,3455.061085
2003-03-10 00:00:00,24.3,33.2,17.2,53,91,11,0,,,,5.52295829,0.305898765,4129.633332
2003-03-11 00:00:00,27.6,35.2,18.8,43,81,16,0,,,,5.545701252,0.335349853,4527.223019
2003-03-12 00:00:00,31,39,24.3,28,62,11,0,,,,5.551525364,0.34162897,4611.991092
2003-03-13 00:00:00,23,27.6,21.3,54,63,38,0,,,,5.59239813,0.18836161,2542.881731
2003-03-14 00:00:00,20.2,25,17,54,69,34,0,,,,5.561871181,0.196613525,2654.282587
2003-03-15 00:00:00,20.1,26.2,15.2,60,85,25,0,,,,5.52767776,0.228529434,3085.147356
2003-03-16 00:00:00,22.1,29.2,14.3,49,92,13,0,,,,5.514951677,0.279364755,3771.424199
2003-03-17 00:00:00,24.6,33,16.8,51,82,16,0,,,,5.580120541,0.313206537,4228.288251
2003-03-18 00:00:00,24,32.9,17.9,57,91,12,0,,,,5.542585936,0.295119713,3984.116129
2003-03-19 00:00:00,26.5,35.2,17.4,60,92,19,0,,,,5.520537542,0.339358685,4581.342249
2003-03-20 00:00:00,27.8,34.8,22.5,62,86,32,0,,,,5.571308935,0.293047832,3956.145735
2003-03-21 00:00:00,25.7,33,21.9,48,84,13,0,,,,5.593039277,0.266601439,3599.119424
2003-03-22 00:00:00,25.2,31.1,19.7,56,77,32,0,,,,5.502307395,0.262742062,3547.017837
2003-03-23 00:00:00,26.5,34.2,21.3,57,83,19,0,,,,5.595390616,0.292814693,3952.998354
2003-03-24 00:00:00,24.8,34.8,19.4,55,83,17,0,,,,5.553858445,0.305371596,4122.516551
2003-03-25 00:00:00,27.8,34.6,18.2,53,83,26,0,,,,5.554657055,0.337371111,4554.509994
2003-03-26 00:00:00,25,40.8,19,41,75,13,0,,,,5.559569706,0.365407174,4932.996844
2003-03-27 00:00:00,19.8,27.2,19.5,,,,0,,,,5.51454433,0.189237287,2554.703375
2003-03-28 00:00:00,,,,,,,,,,,,,
2003-03-29 00:00:00,21.7,27,16,47,86,24,,,,,5.559014944,0.239527374,3233.619549
2003-03-30 00:00:00,24.7,32.9,15.4,48,88,13,0,,,,5.565087198,0.325419671,4393.165556
2003-03-31 00:00:00,28,35,21.5,,,,0,,,,5.554321288,0.307416542,4150.123321
2003-04-01 00:00:00,28.5,38,23,,,,0,,,,6.459421127,0.380964136,5143.015843
2003-04-02 00:00:00,25.8,33.8,20.7,,,,0,,,,6.45476019,0.335016442,4522.721971
2003-04-03 00:00:00,28,36.9,21,,,,,,,,6.427645275,0.386082232,5212.110126
2003-04-04 00:00:00,31,31,31,,,,,,,,,,
2003-04-05 00:00:00,,,,,,,,,,,,,
2003-04-06 00:00:00,,,,,,,,5.5,8.2,11.3,,,
2003-04-07 00:00:00,,,,,,,,4.3,7.2,9.8,,,
2003-04-08 00:00:00,,,,,,,,2.1,4.1,6.7,,,
2003-04-09 00:00:00,,,,,,,,1.3,2.1,4.6,,,
2003-04-10 00:00:00,,,,,,,,,,,,,
2003-04-11 00:00:00,,,,,,,,,,,,,
2003-04-12 00:00:00,29.3,38,21.2,21,40,14,0,,,,6.478059824,0.411324308,5552.878159
2003-04-13 00:00:00,28.1,36.1,20,41,76,17,0,,,,6.445315539,0.39042146,5270.689704
2003-04-14 00:00:00,28.2,34,23.8,53,78,28,0,,,,6.492033327,0.313691342,4234.833112
2003-04-15 00:00:00,27.5,33,23,65,86,39,0,4.5,5.1,7.7,6.453072731,0.304038538,4104.520262
2003-04-16 00:00:00,27.4,38.5,23,72,91,28,0,5.8,6.7,8.7,6.468503452,0.37859247,5110.998342
2003-04-17 00:00:00,25.9,31.5,21,65,91,35,0,5.5,7.7,10.8,6.413315189,0.29869128,4032.332283
2003-04-18 00:00:00,26.2,33.1,20.2,,,,0,6.2,9.3,22.1,6.488401675,0.337247806,4552.845379
2003-04-19 00:00:00,30,37,20,36,61,17,0,4,5.7,12.9,6.466981717,0.419196709,5659.155565
2003-04-20 00:00:00,30.8,38.1,25.9,38,61,22,0,5.4,7.2,9.8,6.442250195,0.359681123,4855.695159
2003-04-21 00:00:00,28.9,32.5,25.7,50,62,38,0,,,,6.458907643,0.258698723,3492.43276
2003-04-22 00:00:00,23.9,27.2,21.9,81,91,52,0,,,,6.480178802,0.204609056,2762.222261
2003-04-23 00:00:00,26.4,32.2,21,63,92,30,0,,,,6.471993126,0.31487139,4250.763767
2003-04-24 00:00:00,29.8,32.5,26.5,42,91,13,0,,,,6.49358546,0.249018155,3361.745099
2003-04-25 00:00:00,,,,32,77,11,0,,,,,,
2003-04-26 00:00:00,28.6,36.8,20.2,42,81,13,0,4,5.7,8.2,6.421793638,0.399293503,5390.462289
2003-04-27 00:00:00,30.7,39.9,19.2,46,93,10,0,5,7.2,9.8,6.45834204,0.46871821,6327.695839
2003-04-28 00:00:00,31.5,43,22.3,46,87,8,0,7,10.8,15.4,6.445998956,0.475539061,6419.777329
2003-04-29 00:00:00,26.7,32.2,22,39,59,18,0,10.1,14.4,19.5,6.440959853,0.301074908,4064.51126
2003-04-30 00:00:00,26.5,31.9,22,43,64,27,0,8.6,12.3,18,6.442165378,0.295336461,3987.042224
2003-05-01 00:00:00,27.2,32.5,22.9,38,58,18,0,10.2,17,22.6,7.145053252,0.327655509,4423.349365
2003-05-02 00:00:00,28,35.9,23.9,38,55,19,0,6.5,11.3,15.4,7.106746676,0.370843618,5006.388844
2003-05-03 00:00:00,30.7,39,21.7,41,81,14,0,4.9,8.7,10.3,7.130334484,0.473084334,6386.638508
2003-05-04 00:00:00,31.6,40.9,22,33,91,11,0,4.4,6.7,8.2,7.142402106,0.504505635,6810.826069
2003-05-05 00:00:00,32.5,41,24.9,29,61,16,0,4.2,6.2,8.2,7.162077196,0.475426948,6418.263792
2003-05-06 00:00:00,37.1,42,24.5,28,35,15,0,2.2,5.1,6.7,7.129634393,0.538545625,7270.365936
2003-05-07 00:00:00,34.9,42.6,26,32,61,13,0,3.4,6.7,9.3,7.147972687,0.504790784,6814.675579
2003-05-08 00:00:00,34.9,44,26.4,41,61,17,0,3.8,5.7,8.7,7.15387316,0.520202049,7022.727659
2003-05-09 00:00:00,32.9,40.2,28,47,76,23,0,4.7,7.7,10.8,7.149865273,0.416437285,5621.903349
2003-05-10 00:00:00,35.8,44,21,34,84,13,0,4,6.7,9.3,7.146117928,0.604175013,8156.362674
2003-05-11 00:00:00,34.8,42.9,27.7,34,59,19,0,5.4,11.3,17,7.157281743,0.482746935,6517.083621
2003-05-12 00:00:00,35.8,44.9,27.2,29,66,14,0,3.3,7.2,10.3,7.186175582,0.53298271,7195.266583
2003-05-13 00:00:00,36.1,47,27.3,34,50,14,0,2.6,6.2,9.3,7.131314483,0.561119473,7575.112884
2003-05-14 00:00:00,35.9,44,28.2,31,66,16,0,4.7,7.7,11.8,7.174793065,0.503704792,6800.014689
2003-05-15 00:00:00,35.5,43,27.8,32,82,11,0,4.5,8.2,15.4,7.15610014,0.489090566,6602.72264
2003-05-16 00:00:00,36.3,43,28.6,32,41,18,0,5.4,6.7,13.4,7.189003747,0.485412655,6553.070845
2003-05-17 00:00:00,36.8,42,29.6,35,69,23,0,,,,7.133913356,0.451123228,6090.163577
2003-05-18 00:00:00,36.9,44,29,28,48,18,0,,,,7.151398305,0.498296454,6727.002128
2003-05-19 00:00:00,37.4,45.8,31,33,48,19,0,,,,7.130017221,0.497994318,6722.923295
2003-05-20 00:00:00,37,46,30,25,49,13,0,,,,7.157240076,0.516000364,6966.004919
2003-05-21 00:00:00,36.3,45,27.9,25,36,14,0,,,,7.143055013,0.525585274,7095.401202
2003-05-22 00:00:00,38.1,47.2,29,25,36,13,0,,,,7.121517857,0.55857815,7540.805019
2003-05-23 00:00:00,35.5,44.4,27.6,34,84,13,0,,,,7.15266384,0.513941323,6938.207857
2003-05-24 00:00:00,,,,37,72,16,0,,,,,,
2003-05-25 00:00:00,34.3,42.2,28.5,35,70,13,0,,,,7.166945019,0.454564958,6136.626931
2003-05-26 00:00:00,34.3,43.8,26.8,39,64,17,0,,,,7.175393955,0.506957798,6843.930275
2003-05-27 00:00:00,35.2,44.5,26.2,51,80,18,0,,,,7.167792967,0.534503731,7215.800362
2003-05-28 00:00:00,38.5,47,28,32,92,8,0,,,,7.160207689,0.577929267,7802.045109
2003-05-29 00:00:00,35,43.7,26.5,24,49,11,0,,,,7.150827594,0.51501316,6952.677663
2003-05-30 00:00:00,34.6,42.3,25,35,76,13,0,,,,7.113364128,0.509909675,6883.780615
2003-05-31 00:00:00,38.6,41,26.8,39,62,14,0,,,,7.17477296,0.501528148,6770.629995
2003-06-01 00:00:00,,,,45,84,13,0,,,,,,
2003-06-02 00:00:00,39.2,47.2,31,36,80,15,0,,,,7.640901786,0.576555147,7783.49449
2003-06-03 00:00:00,37.5,47,30.2,45,68,17,0,,,,7.629271413,0.568756943,7678.218725
2003-06-04 00:00:00,38.2,47,30,39,81,16,0,,,,7.654704244,0.581305961,7847.630476
2003-06-05 00:00:00,38.4,47.4,30,42,76,15,0,,,,7.62015518,0.58754161,7931.811731
2003-06-06 00:00:00,37.8,47,31,38,69,15,0,,,,7.642585149,0.559034927,7546.971518
2003-06-07 00:00:00,36.3,45.3,31,37,62,19,0,,,,7.676707887,0.516540255,6973.293441
2003-06-08 00:00:00,38.1,48.4,30,32,58,13,0,,,,7.613189939,0.600414619,8105.597355
2003-06-09 00:00:00,38.2,48.4,29,30,85,9,0,4.3,8.7,14.4,7.619831207,0.618156039,8345.106528
2003-06-10 00:00:00,38,47.2,30,22,49,12,0,3.4,7.2,11.8,7.655162245,0.582662,7865.937006
2003-06-11 00:00:00,38,48.2,30,33,43,12,0,3.7,6.7,11.8,7.681282944,0.601405685,8118.976751
2003-06-12 00:00:00,36,48.5,29,41,77,10,0,2.1,5.7,9.8,7.621422621,0.595524317,8039.578276
2003-06-13 00:00:00,37.3,46.5,24.8,46,95,4,0,3.1,5.1,8.7,7.687064315,0.648941957,8760.716415
2003-06-14 00:00:00,,,27,79,90,38,0,3,4.6,8.2,,,
2003-06-15 00:00:00,,,,,,,,3.7,6.7,8.7,,,
2003-06-16 00:00:00,,,,,,,,2.8,4.1,7.7,,,
2003-06-17 00:00:00,,,,,,,,3.9,6.2,10.8,,,
2003-06-18 00:00:00,,,,,,,,5.6,8.7,13.4,,,
2003-06-19 00:00:00,,,,,,,,8.4,13.4,19,,,
2003-06-20 00:00:00,,,,,,,,8.2,12.9,18.5,,,
2003-06-21 00:00:00,38.8,44.9,31.8,27,52,14,0,6.4,10.8,18.5,7.624450231,0.513717649,6935.188262
2003-06-22 00:00:00,36.8,44.5,30.5,31,53,15,0,5.7,10.8,17,7.624783246,0.512327935,6916.427116
2003-06-23 00:00:00,34.4,41.5,28,40,72,19,0,6.7,12.9,18.5,7.628954486,0.48124506,6496.808313
2003-06-24 00:00:00,34.7,41.8,28,36,76,17,0,8,12.3,17,7.699334986,0.493873741,6667.295504
2003-06-25 00:00:00,35.7,43.4,28.5,31,65,14,0,6.4,10.3,17,7.680093706,0.521647714,7042.244142
2003-06-26 00:00:00,35.2,42.5,29,30,67,12,0,4.1,7.2,11.3,7.690055767,0.492533888,6649.207485
2003-06-27 00:00:00,33.9,43.1,25.2,29,64,12,0,2.2,6.7,10.3,7.623835844,0.548472009,7404.372124
2003-06-28 00:00:00,33.9,43.7,25.3,33,84,9,0,4.3,8.7,13.4,7.631718791,0.556654453,7514.835113
2003-06-29 00:00:00,34.5,44,26.1,28,74,13,0,3.9,8.7,13.9,7.6447579,0.556359892,7510.858544
2003-06-30 00:00:00,35.7,43.3,25.9,27,62,14,0,4.1,8.7,13.4,7.645714345,0.561190548,7576.072399
2003-07-01 00:00:00,36.4,44,29.3,22,37,14,0,4.9,7.7,14.4,7.324965888,0.500642177,6758.669384
2003-07-02 00:00:00,35.9,44.5,27.5,35,73,16,0,2.9,6.2,11.8,7.329104494,0.533720069,7205.220932
2003-07-03 00:00:00,34.1,43,25.2,44,92,13,0,5,12.3,17.5,7.356276081,0.529784506,7152.090825
2003-07-04 00:00:00,35.7,43.7,27.8,34,86,12,0,4.9,11.3,15.9,7.359603215,0.516381433,6971.149341
2003-07-05 00:00:00,36.1,45.2,28,40,69,18,0,,,,7.358066626,0.540979213,7303.219381
2003-07-06 00:00:00,36.3,45.5,27.5,38,76,13,0,,,,7.38526743,0.557524064,7526.574867
2003-07-07 00:00:00,34.4,43.2,27.5,59,82,18,0,,,,7.310816816,0.497336238,6714.039212
2003-07-08 00:00:00,34.2,40.5,28.5,57,90,28,0,,,,7.308768757,0.433014123,5845.690664
2003-07-09 00:00:00,35.8,44,28.5,37,79,7,0,,,,7.309047487,0.507288825,6848.399143
2003-07-10 00:00:00,36,43.5,28.7,38,67,12,0,,,,7.322646036,0.498476913,6729.438321
2003-07-11 00:00:00,36,42.5,30.2,32,70,13,0,,,,7.314039203,0.453895617,6127.590824
2003-07-12 00:00:00,34.9,42,30.2,52,72,27,0,,,,7.337348811,0.43687245,5897.778072
2003-07-13 00:00:00,36.3,45.2,28.5,41,84,13,0,,,,7.383893913,0.536914117,7248.340573
2003-07-14 00:00:00,36.5,43.8,29.3,35,72,13,0,,,,7.366839718,0.500989848,6763.362943
2003-07-15 00:00:00,35.3,43.8,29,50,76,15,0,,,,7.376584571,0.495615155,6690.804597
2003-07-16 00:00:00,35.5,45.2,25.9,46,90,12,0,,,,7.302692581,0.562409639,7592.530132
2003-07-17 00:00:00,36,45.8,25.5,39,91,10,0,,,,7.363507379,0.587055139,7925.244382
2003-07-18 00:00:00,35.5,45.5,27.6,50,80,14,0,,,,7.320753925,0.542966965,7330.054024
2003-07-19 00:00:00,33.6,41.1,28,62,87,29,0,,,,7.302463575,0.446819419,6032.062159
2003-07-20 00:00:00,35.1,42.9,27.1,47,94,13,0,,,,7.355637294,0.508707798,6867.555274
2003-07-21 00:00:00,35.9,44.5,26.8,31,88,10,0,,,,7.374718863,0.547987007,7397.824594
2003-07-22 00:00:00,35.4,43.3,29.3,48,79,16,0,,,,7.366804181,0.482301541,6511.070804
2003-07-23 00:00:00,35.5,42.8,29.6,44,82,17,0,,,,7.346750597,0.467921871,6316.945261
2003-07-24 00:00:00,35.8,43.1,28.4,33,71,13,0,,,,7.369615024,0.498117881,6724.591398
2003-07-25 00:00:00,35.1,41.5,29.9,33,56,14,0,,,,7.33288593,0.434533706,5866.205028
2003-07-26 00:00:00,36.2,43.8,28,27,69,15,0,,,,7.384208062,0.521302853,7037.588518
2003-07-27 00:00:00,35.4,42.8,27.2,32,76,16,0,,,,7.343492004,0.507505124,6851.319171
2003-07-28 00:00:00,35.6,43,28.5,34,69,16,0,,,,7.351192708,0.491639694,6637.135864
2003-07-29 00:00:00,35.8,43,28.4,38,74,17,0,,,,7.390606188,0.497834686,6720.768263
2003-07-30 00:00:00,35.9,41.1,31.1,36,56,21,0,,,,7.333560748,0.409593497,5529.512211
2003-07-31 00:00:00,35,41.3,31,51,68,26,0,,,,7.366713283,0.410572801,5542.732814
2003-08-01 00:00:00,34.4,43.2,28.5,47,88,14,0,,,,6.860482271,0.451593508,6096.512361
2003-08-02 00:00:00,34.8,42.9,26.6,51,87,18,0,,,,6.802311817,0.475116328,6414.07043
2003-08-03 00:00:00,35.5,42.9,30,65,90,28,0,,,,6.807597702,0.428627292,5786.468445
2003-08-04 00:00:00,36.1,43,32,60,82,25,0,,,,6.875078389,0.404228226,5457.081049
2003-08-05 00:00:00,36.6,43.5,31.8,53,87,23,0,,,,6.855946004,0.419588032,5664.438436
2003-08-06 00:00:00,38.1,45,32.5,43,84,22,0,,,,6.865099302,0.446249263,6024.365045
2003-08-07 00:00:00,37.8,45.2,32.8,42,64,22,0,,,,6.898586913,0.444231804,5997.129354
2003-08-08 00:00:00,36.3,44.9,30.5,53,85,19,0,,,,6.878113954,0.464420895,6269.682087
2003-08-09 00:00:00,37.4,46,30,46,92,12,0,,,,6.814927459,0.494907665,6681.253475
2003-08-10 00:00:00,38.1,46.8,31,39,74,12,0,,,,6.859290619,0.501283522,6767.327543
2003-08-11 00:00:00,37.3,45.2,31,52,74,21,0,,,,6.874264072,0.46944623,6337.524108
2003-08-12 00:00:00,37,45.5,28,49,90,13,0,,,,6.884340357,0.519069833,7007.442748
2003-08-13 00:00:00,36.6,46.1,28.5,52,88,12,0,,,,6.800652914,0.510469405,6891.336961
2003-08-14 00:00:00,37.1,47,29,53,90,9,0,,,,6.803705497,0.521216286,7036.419858
2003-08-15 00:00:00,37.8,47,28.5,45,84,20,0,,,,6.827876923,0.537044426,7250.09975
2003-08-16 00:00:00,35.8,45,28.5,50,87,12,0,,,,6.872455769,0.492133115,6643.797046
2003-08-17 00:00:00,34.6,42.2,29,59,84,20,0,,,,6.814146305,0.426671446,5760.064526
2003-08-18 00:00:00,33.9,42.5,28,62,90,21,0,,,,6.888064045,0.446000755,6021.010197
2003-08-19 00:00:00,35.1,45.8,25.6,50,91,4,0,,,,6.845379684,0.535294489,7226.475595
2003-08-20 00:00:00,36.6,46.8,26.7,41,90,3,0,,,,6.87140183,0.551196115,7441.147557
2003-08-21 00:00:00,36.9,44.9,28,39,80,11,0,,,,6.853474797,0.506880253,6842.883413
2003-08-22 00:00:00,36.7,45.5,29,53,73,16,0,,,,6.82888605,0.49722415,6712.526022
2003-08-23 00:00:00,35.7,45.3,29,54,89,16,0,,,,6.886797475,0.489247674,6604.843594
2003-08-24 00:00:00,35.7,45,27.3,40,86,16,0,,,,6.870381886,0.508610318,6866.239294
2003-08-25 00:00:00,38.5,46.5,28.8,25,59,6,0,,,,6.865297698,0.534833098,7220.246824
2003-08-26 00:00:00,36.3,44.5,28,24,71,7,0,,,,6.85116135,0.495184801,6684.994816
2003-08-27 00:00:00,34.3,42.5,27.2,48,76,15,0,,,,6.826933823,0.457586291,6177.414934
2003-08-28 00:00:00,35.2,43.4,27.5,40,85,11,0,,,,6.804604755,0.472978293,6385.206955
2003-08-29 00:00:00,36.4,46,28,36,67,6,0,,,,6.878588352,0.520234,7023.159005
2003-08-30 00:00:00,35.5,44.5,28.3,35,69,9,0,,,,6.806331607,0.48024372,6483.290215
2003-08-31 00:00:00,35.4,41.8,28.2,48,70,17,0,,,,6.844844825,0.441680847,5962.691434
2003-09-01 00:00:00,33.5,39.3,30,60,81,29,0,,,,6.371105967,0.327821582,4425.591353
2003-09-02 00:00:00,34.3,42.8,27.5,45,86,11,0,,,,6.349228004,0.425567286,5745.158356
2003-09-03 00:00:00,35.3,44.9,27,30,79,10,0,,,,6.389881051,0.472147488,6373.991093
2003-09-04 00:00:00,34.9,43.2,26.5,45,86,11,0,,,,6.378517999,0.451806536,6099.38824
2003-09-05 00:00:00,34.4,42.5,28.5,49,82,16,0,,,,6.3927322,0.410662367,5543.941954
2003-09-06 00:00:00,34.5,44,25.8,37,83,9,0,,,,6.379564546,0.468157831,6320.130716
2003-09-07 00:00:00,34.2,41.3,27.5,43,81,22,0,,,,6.365556031,0.40442976,5459.801758
2003-09-08 00:00:00,31.6,38.2,28,31,56,17,0,,,,6.318082087,0.327850743,4425.985032
2003-09-09 00:00:00,31.2,37.6,23.6,41,52,27,0,,,,6.325883231,0.381456608,5149.664205
2003-09-10 00:00:00,31.7,38,26,47,71,27,0,,,,6.319848126,0.356423505,4811.717323
2003-09-11 00:00:00,33.5,40.4,26.6,46,64,21,0,,,,6.389606083,0.400492942,5406.654715
2003-09-12 00:00:00,33.1,40.1,27,38,85,9,0,,,,6.322727617,0.38310849,5171.964616
2003-09-13 00:00:00,32.9,40.5,24.9,41,89,8,0,,,,6.334928531,0.417230311,5632.609199
2003-09-14 00:00:00,32.4,39.2,25,47,69,17,0,,,,6.356809852,0.395504094,5339.305272
2003-09-15 00:00:00,28.3,30,27.4,66,71,58,0,,,,6.300503762,0.154037602,2079.507622
2003-09-16 00:00:00,,,,,,,,,,,,,
2003-09-17 00:00:00,,,,,,,,,,,,,
2003-09-18 00:00:00,,,,,,,,,,,,,
2003-09-19 00:00:00,,,,,,,,,,,,,
2003-09-20 00:00:00,,,,,,,,,,,,,
2003-09-21 00:00:00,,,,,,,,,,,,,
2003-09-22 00:00:00,33.1,39.1,26.2,56,88,26,0,,,,6.302647185,0.378965354,5116.03228
2003-09-23 00:00:00,33,42,25,51,93,7,0,,,,6.38057667,0.439553738,5933.975468
2003-09-24 00:00:00,33.3,42.5,26,45,81,11,0,,,,6.376002689,0.435286539,5876.36828
2003-09-25 00:00:00,33.6,43,25,48,88,9,0,,,,6.363958007,0.456447203,6162.037242
2003-09-26 00:00:00,31.6,39,23.9,55,90,19,0,,,,6.375093708,0.402499985,5433.749803
2003-09-27 00:00:00,32,40.8,25,61,87,17,0,,,,6.333037554,0.412319451,5566.31259
2003-09-28 00:00:00,32.4,40.9,26,40,68,10,0,,,,6.357110035,0.405154301,5469.583062
